sample,PSNR_3D_dB,PSNR_2D_dB,PSNR_1D_dB,SSIM,MAE_Air_HU,MAE_Soft_HU,MAE_Bone_HU,RED_MAE,RED_ME,Gamma_1pct_1mm,Gamma_2pct_2mm
0,24.061836,24.342957,32.977299,0.807905,51.900732,41.484567,306.688458,0.052174,-0.007708,0.920438,0.996065
1,22.807639,22.964069,31.201625,0.769436,68.898119,48.977727,351.967486,0.063653,-0.024402,0.923773,0.995614
2,23.855841,24.591836,29.833770,0.768902,72.747548,48.548354,266.797164,0.058810,0.003200,0.921820,0.995051
3,23.241386,23.393547,31.388670,0.792661,63.978728,43.521181,354.717127,0.059013,0.004800,0.910576,0.994307
4,23.584692,24.010851,33.407222,0.799730,58.675242,39.571217,337.972283,0.054636,-0.003474,0.918302,0.991300
5,21.653215,21.997642,28.913955,0.753096,89.056356,48.231318,370.444109,0.071414,-0.011520,0.913419,0.997868
6,22.631548,22.933376,30.588921,0.766570,65.674632,47.952419,348.351333,0.063872,-0.011429,0.907414,0.993771
7,22.215359,22.903401,29.616617,0.766162,82.467355,51.196895,323.759242,0.071479,0.010515,0.898225,0.986846
8,21.300058,22.097897,29.528665,0.753025,74.287770,61.345043,330.889353,0.074921,-0.035879,0.900889,0.987599
9,22.823291,23.144179,31.540283,0.781098,77.149368,46.060050,333.479930,0.063909,-0.010522,0.924082,0.996853
10,21.706217,22.189568,28.353123,0.675726,80.041795,61.252261,412.483845,0.074377,-0.001068,0.882219,0.990754
11,22.339951,22.420234,31.126270,0.758178,80.809571,47.797729,383.835795,0.065438,-0.005793,0.914857,0.993787
12,22.284416,22.707024,29.665697,0.766673,73.067358,44.870969,344.794899,0.067854,-0.012267,0.884787,0.987362
13,22.435299,22.635658,30.706768,0.763297,80.484808,46.928307,342.722534,0.067013,-0.018970,0.912256,0.991455
14,23.308905,23.628762,30.788406,0.786172,66.950296,44.061657,350.722715,0.059463,0.002363,0.911444,0.993840
15,21.951493,22.175532,29.937103,0.758606,86.709667,44.249956,363.626460,0.070786,-0.001803,0.891711,0.981098
16,23.973641,24.202897,33.387875,0.799158,65.801085,43.793803,285.117714,0.055188,0.002334,0.924026,0.995343
17,23.225165,23.711028,32.164577,0.806878,68.665603,37.271557,323.220295,0.059523,-0.001560,0.907622,0.992700
18,23.215690,23.679577,30.572973,0.778035,74.457722,43.170174,334.114065,0.058120,-0.008718,0.911771,0.992532
19,23.313473,24.047171,31.908461,0.805327,67.029671,35.014443,317.928047,0.059083,-0.001700,0.910405,0.991879
20,21.826182,22.134900,28.278014,0.754583,85.440479,49.643145,335.926725,0.075082,-0.001823,0.881324,0.980978
21,22.673783,23.103097,31.109762,0.790726,80.022067,44.144872,286.271717,0.066128,0.005901,0.908215,0.982788
22,21.416781,22.407319,28.541943,0.724578,74.921721,68.802326,346.300442,0.075566,-0.023699,0.891743,0.986634
23,20.122224,20.540230,28.310771,0.727320,69.012091,89.891854,366.582174,0.090370,-0.051978,0.879890,0.968902
24,21.635998,21.959233,30.387467,0.768338,86.078246,54.687043,307.852385,0.068672,-0.007489,0.891815,0.983640
25,21.769813,21.990368,28.513001,0.672284,82.956705,75.516051,374.826408,0.080454,-0.001612,0.876436,0.985271
26,22.391259,22.867277,31.162088,0.785958,60.036304,43.738416,415.633361,0.061184,-0.003563,0.903633,0.991650
27,21.744253,22.213020,30.778840,0.740887,90.882190,62.112366,326.706852,0.077076,-0.041684,0.869566,0.974563
28,22.258487,22.573037,28.946391,0.754064,67.564355,50.225082,366.695289,0.067002,-0.023088,0.894897,0.994346
29,21.901952,22.638416,30.179528,0.776625,74.694449,49.927543,329.479472,0.070336,-0.031918,0.899723,0.987136
30,22.344334,23.006562,30.072015,0.809955,69.569946,35.883635,331.019551,0.062645,-0.009408,0.903762,0.990972
31,23.019815,23.823693,30.952552,0.787691,66.991386,42.579507,338.458896,0.059687,-0.008583,0.912334,0.993104
32,22.207308,22.387764,30.377917,0.756459,73.064663,50.217039,365.881199,0.065218,-0.013421,0.919073,0.997164
33,23.002210,23.249177,31.419872,0.791177,65.645418,44.570081,335.541514,0.059570,-0.015786,0.924269,0.997880
34,22.777417,23.843952,30.606391,0.789056,63.495819,47.890964,316.396572,0.062082,-0.010995,0.918347,0.993277
35,22.051986,22.736351,30.769606,0.725271,78.633951,62.351292,338.478942,0.071048,-0.019214,0.902890,0.990836
36,23.188410,23.579411,31.489813,0.795156,63.261215,45.446904,346.977543,0.058077,-0.006236,0.924103,0.996724
MEAN,22.493549,22.941379,30.527142,0.767750,73.003363,49.808858,340.882754,0.065971,-0.010762,0.905191,0.990321
