Checkpoint: ./checkpoints_brain_hybrid/best_model.pt
Split: test
MC runs: 3
Samples: 37

=== AGGREGATE METRICS ===
Mean L1:       0.049201 ± 0.007722
Mean PSNR:     24.12 ± 1.14 dB
Mean SSIM:     0.8037 ± 0.0334
Mean MAE (HU): 65.8 ± 10.3 HU

=== PER-SAMPLE METRICS ===
  Sample         L1   PSNR(dB)       SSIM    MAE(HU)
--------------------------------------------------
       0   0.038943      26.12     0.8386       52.1
       1   0.050239      24.33     0.7950       67.2
       2   0.045486      25.08     0.7932       60.8
       3   0.044370      24.77     0.8248       59.3
       4   0.040905      25.38     0.8279       54.7
       5   0.058419      22.81     0.7790       78.1
       6   0.048426      24.37     0.8017       64.7
       7   0.046179      24.28     0.8246       61.7
       8   0.055633      22.57     0.7950       74.4
       9   0.050968      23.69     0.7938       68.1
      10   0.064290      22.47     0.7151       86.0
      11   0.054187      23.51     0.7763       72.4
      12   0.044404      24.78     0.8302       59.4
      13   0.053542      23.50     0.7847       71.6
      14   0.046395      24.71     0.8006       62.0
      15   0.046339      24.53     0.8171       62.0
      16   0.039480      25.93     0.8327       52.8
      17   0.040497      25.85     0.8462       54.1
      18   0.045627      25.01     0.7990       61.0
      19   0.039822      25.68     0.8382       53.2
      20   0.045602      24.36     0.8237       61.0
      21   0.040223      25.06     0.8476       53.8
      22   0.060120      22.31     0.7636       80.4
      23   0.068633      20.80     0.7690       91.8
      24   0.051080      23.34     0.8054       68.3
      25   0.068864      22.23     0.6947       92.1
      26   0.044370      24.56     0.8241       59.3
      27   0.057926      23.11     0.7810       77.4
      28   0.050942      24.24     0.7985       68.1
      29   0.046775      23.95     0.8275       62.5
      30   0.041527      24.69     0.8546       55.5
      31   0.044906      24.61     0.8252       60.0
      32   0.054514      23.34     0.7800       72.9
      33   0.049845      23.88     0.8066       66.6
      34   0.041886      24.70     0.8351       56.0
      35   0.053080      23.27     0.7752       71.0
      36   0.046013      24.57     0.8096       61.5
